Nom,Naissance,Taille,Poids,Nationalité,Latéralité
T. Charles,6/12/1985,182.88,78.9,Argentina,Left
T. Naylor,6/28/1991,187.96,72.1,England,Right
O. Beckles,10/25/1991,190.5,78,England,Right
B. Eleke,3/5/1996,190.5,88,Nigeria,Right
Y. Etienne,5/19/1997,175.26,69.9,France,Left
O. Rodríguez,9/10/1996,175.26,73,Mexico,Left
C. Mac-Intosch,8/9/1989,154.94,78,Netherlands,Right
R. Fennell,6/5/1989,182.88,82.1,United States,Right
C. Harriott,3/4/1994,165.1,66.2,England,Left
A. Fukumori,12/16/1992,182.88,74.8,Japan,Left
K. Hafez,3/12/1996,175.26,73,Egypt,Left
Yoon Seung Won,2/11/1995,185.42,73.9,Korea Republic,Left
L. Crecco,9/6/1995,182.88,76.2,Italy,Left
I. Alhassan,11/3/1996,187.96,72.1,Nigeria,Right
L. Nmecha,12/14/1998,185.42,69.9,England,Right
J. Ginnelly,3/24/1997,172.72,64.9,England,Right
F. Kaufmann,9/8/1992,154.94,72.1,Germany,Right
D. Gomis,12/21/1992,172.72,68,France,Right
L. Craig,12/27/1986,182.88,82.1,Scotland,Left
R. Vanegas,3/12/1993,175.26,72.1,Colombia,Right
A. Al Salem,12/19/1992,182.88,73.9,Saudi Arabia,Right
G. Kuświk,5/23/1987,154.94,74.8,Poland,Right
A. Cook,10/18/1990,185.42,72.1,England,Right
O. Käuper,1/9/1997,187.96,77.1,Germany,Left
M. Domínguez,10/27/1999,160.02,58.1,Mexico,Left
J. Eilers,6/13/1988,187.96,77.1,Germany,Right
M. Lackner,4/5/1991,193.04,74.8,Austria,Right
M. Høibråten,1/23/1995,182.88,77.1,Norway,Left
A. Ajeti,9/25/1993,182.88,77.1,Albania,Right
R. Mulumba,11/2/1992,154.94,76.2,DR Congo,Right
S. Diakité,1/24/1989,185.42,79.8,Mali,Right
T. Mears,2/18/1983,154.94,73.9,England,Right
D. Gorter,6/15/1988,175.26,69.9,Netherlands,Left
M. Fetsch,9/30/1988,187.96,82.1,Germany,Right
D. Wotherspoon,1/16/1990,154.94,76.2,Canada,Right
R. Matondo,9/9/2000,175.26,66.2,Wales,Right
O. Ba,11/11/1995,193.04,83.9,Senegal,Right
L. Lezzerini,3/24/1995,195.58,86.2,Italy,Right
Y. Nakano,2/24/1993,175.26,66.2,Japan,Right
Andrés Prieto,10/17/1993,193.04,93,Spain,Right
E. Lee,12/16/1994,154.94,72.1,England,Right
B. Galloway,3/17/1996,185.42,73.9,England,Left
Y. Thuram,10/31/1988,187.96,84.8,France,Right
C. Doucouré,1/8/2000,154.94,73,Mali,Right
Jordi Quintillà,10/25/1993,152.4,69.9,Spain,Left
B. Blume,1/22/1992,175.26,73,Denmark,Right
Milton Raphael,5/11/1991,187.96,81.2,Brazil,Right
Z. Mebarakou,1/3/1989,187.96,79.8,Algeria,Left
Domingos Quina,11/18/1999,175.26,66.2,Portugal,Right
C. Traoré,1/1/1992,154.94,73.9,Mali,Left
D. Lowe,5/5/1993,190.5,79.8,Jamaica,Right
J. Schoop,12/23/1988,175.26,68,Denmark,Left
M. Atwa,7/15/1990,182.88,78,Egypt,Right
P. Neumann,7/8/1997,193.04,82.1,Germany,Right
Imanol García,12/26/1995,182.88,74.8,Spain,Right
A. Sigurðarson,10/8/1993,152.4,69.9,Iceland,Right
K. Moriya,9/21/1988,172.72,64.9,Japan,Right
T. Sekine,4/19/1995,167.64,60.8,Japan,Right
M. Wostry,7/19/1992,182.88,73.9,Austria,Right
C. Wyke,12/6/1992,185.42,73.9,England,Right
J. Gatt,8/29/1991,152.4,73,United States,Right
C. Munder,1/7/2000,165.1,57.2,Cuba,Right
A. Marin,9/21/1989,187.96,78.9,France,Right
C. Gunter,7/21/1989,154.94,71.2,Wales,Right
M. van Bergen,8/27/1999,170.18,62.1,Netherlands,Right
G. Bijl,7/13/1995,154.94,76.2,Netherlands,Right
A. Jug,3/3/1992,193.04,88.9,Slovenia,Right
N. Thompson,11/9/1990,172.72,71.2,England,Right
A. Nakamura,9/13/1990,175.26,67.1,Japan,Right
T. Umesaki,2/23/1987,170.18,68,Japan,Right
N. Antonitsch,9/30/1991,185.42,81.2,Austria,Right
W. Keane,1/11/1993,187.96,72.1,England,Right
T. van de Pavert,1/6/1992,193.04,84.8,Netherlands,Left
K. Tokura,6/16/1986,187.96,79.8,Japan,Left
A. Buksa,7/12/1996,190.5,78.9,Poland,Right
O. Benítez,6/7/1991,185.42,78.9,Argentina,Left
J. Espinoza,7/5/1991,170.18,77.1,Chile,Right
M. Štěch,1/28/1990,190.5,88.9,Czech Republic,Right
J. Żubrowski,3/21/1992,154.94,73,Poland,Right
I. Khalili,4/3/1987,182.88,74.8,Palestine,Left
A. Diawusie,2/12/1998,154.94,76.2,Germany,Right
T. Hasegawa,3/7/1994,165.1,58.1,Japan,Right
F. Concas,11/17/1986,152.4,62.1,Italy,Right
O. Halvorsen,10/2/1987,152.4,74.8,Norway,Right
Isidoro,8/1/1986,154.94,71.2,Spain,Right
C. Guerra,8/9/1994,182.88,83,Chile,Right
A. Le Tallec,10/3/1984,182.88,73,France,Right
T. Mohr,8/24/1995,182.88,78,Germany,Left
R. Nagaki,6/4/1988,172.72,72.1,Japan,Right
R. Ramírez,7/7/1996,187.96,73,Argentina,Right
Bae Seul Gi,6/9/1985,182.88,78.9,Korea Republic,Right
J. Rossiter,3/24/1997,152.4,64,England,Right
P. Carlgren,1/8/1992,187.96,83.9,Sweden,Right
Jony Ñíguez,4/2/1985,175.26,72.1,Spain,Right
N. Vidrio,3/22/1989,182.88,78,Mexico,Right
T. Bergmann,11/8/1996,154.94,74.8,Germany,Right
J. Walsh,5/13/1992,154.94,69.9,Wales,Left
N. Mohammed,6/6/1994,172.72,69.9,Ghana,Right
M. Marshall,5/5/1987,170.18,68.9,Jamaica,Left
F. Ananou,9/20/1997,182.88,78,Germany,Right
D. Mahmudov,11/6/1989,170.18,62.1,FYR Macedonia,Right
Lim Jong Eun,6/18/1990,193.04,88,Korea Republic,Right
M. Torres,11/6/1997,154.94,69.9,Argentina,Right
S. Yamamoto,6/1/1985,154.94,68.9,Japan,Right
M. Rivero,11/13/1989,175.26,72.1,Argentina,Right
Lim Sang Hyub,7/8/1988,154.94,73,Korea Republic,Left
D. Templeton,1/7/1989,175.26,63,Scotland,Right
K. Shimizu,4/30/1989,170.18,67.1,Japan,Right
M. Woods,1/1/1986,154.94,78,Scotland,Left
Q. Moll,1/21/1991,182.88,77.1,Germany,Right
N. Hasler,4/5/1991,175.26,78,Liechtenstein,Right
M. Bennett,7/15/1996,152.4,64,England,Right
M. Sema,12/2/1988,172.72,68,Sweden,Right
J. Zavala,7/21/1987,190.5,87.1,Mexico,Right
A. Lienhart,1/28/1986,182.88,78,Austria,Right
N. Saint-Ruf,10/24/1992,187.96,84.8,France,Right
F. Sakala,3/14/1997,152.4,72.1,Zambia,Right
Lee Yeong Jae,9/13/1994,175.26,59.9,Korea Republic,Left
R. Gaddis,1/13/1990,175.26,68,United States,Right
Leandro,5/12/1993,152.4,76.2,Brazil,Right
Luis Marleiro,2/29/1992,152.4,77.1,Brazil,Left
Judson,5/25/1993,170.18,64.9,Brazil,Right
T. Skarke,9/7/1996,152.4,71.2,Germany,Right
I. Ssewankambo,2/27/1996,152.4,79.8,Sweden,Right
P. Frick,4/14/1992,182.88,81.2,Sweden,Right
M. Fox,9/21/1993,185.42,78,Wales,Left
D. Starkl,11/6/1993,175.26,69.9,Austria,Right
T. Beltran,10/11/1987,172.72,68,United States,Right
N. Hansen,9/30/1994,152.4,77.1,Denmark,Right
J. Grot,3/13/1998,193.04,98,Netherlands,Right
G. Alcalá,7/29/1992,152.4,73.9,Mexico,Right
F. Bonazzoli,5/21/1997,182.88,77.1,Italy,Left
Jin Jingdao,1/18/1992,170.18,66.2,China PR,Right
A. Akinfenwa,5/10/1982,152.4,110.2,England,Right
L. Paz,9/8/1988,175.26,69.9,Colombia,Right
C. Morris,12/16/1995,185.42,84.8,England,Right
P. Bouby,10/17/1983,182.88,78,France,Left
E. Ćivić,5/28/1996,182.88,76.2,Bosnia Herzegovina,Left
V. Retamal,3/6/1998,170.18,62.1,Chile,Right
D. Raum,4/22/1998,154.94,74.8,Germany,Left
M. Doyle,7/8/1981,152.4,71.2,Republic of Ireland,Left
M. Macey,9/9/1994,198.12,81.2,England,Right
F. Nimani,10/8/1988,190.5,87.1,France,Left
T. Walker,10/17/1996,152.4,63,England,Right
C. Washington,5/18/1992,152.4,84.8,Northern Ireland,Right
Héctor,9/14/1995,154.94,73,Spain,Right
R. Grange,7/21/1988,152.4,73.9,France,Right
A. Hainault,6/17/1986,182.88,79.8,Canada,Right
Yin Hongbo,10/30/1989,154.94,74.8,China PR,Left
S. MacLean,8/23/1982,154.94,78.9,Scotland,Right
S. Diop,6/9/2000,165.1,54.9,France,Right
V. Mykolenko,5/29/1999,154.94,71.2,Ukraine,Left
Hu Rentian,1/21/1991,175.26,68,China PR,Right
M. Galmarini,2/28/1982,154.94,77.1,Argentina,Right
F. Castillo,3/18/1990,175.26,69.9,Colombia,Left
A. Sané,10/15/1992,182.88,73,Senegal,Right
I. Lanni,6/30/1990,185.42,76.2,Italy,Right
J. O'Shea,4/30/1981,190.5,83.9,Republic of Ireland,Right
O. Kanté,9/21/1989,185.42,83,France,Right
R. Bushiri,11/30/1999,187.96,91.2,Belgium,Right
J. Moreno,10/22/1996,187.96,78,Colombia,Left
S. Svendsen,8/6/1997,172.72,67.1,Norway,Right
J. Allen,1/29/1995,154.94,72.1,England,Right
H. Kadish,9/26/1992,152.4,73,Saudi Arabia,Left
J. Zelený,8/20/1992,190.5,81.2,Czech Republic,Left
A. Matějů,6/3/1996,182.88,78.9,Czech Republic,Right
G. Aburjania,1/2/1995,185.42,78.9,Georgia,Right
D. Phillips,6/11/1995,187.96,76.2,England,Right
J. Jacobson,11/17/1986,154.94,78.9,Wales,Left
J. Maja,12/27/1998,154.94,67.1,England,Right
E. Vandenabeele,12/16/1991,182.88,77.1,France,Right
G. Gómez,3/4/1996,190.5,98.9,Argentina,Right
F. Stokkers,4/18/1996,185.42,78.9,Netherlands,Right
G. Kastaneer,6/9/1996,185.42,84.8,Curacao,Right
E. Bakker,3/21/1990,152.4,77.1,Netherlands,Right
C. Schwegler,6/6/1984,175.26,73.9,Switzerland,Right
M. Pellegrini,3/11/2000,175.26,71.2,Argentina,Left
C. Schoppenhauer,2/23/1992,185.42,77.1,Germany,Right
T. Spurr,9/30/1987,185.42,72.1,England,Left
J. Duma,12/8/1993,175.26,73.9,Argentina,Right
J. Cousins,3/6/1994,152.4,72.1,England,Right
B. Badiashile,3/26/2001,193.04,77.1,France,Left
Pardo,4/21/1988,187.96,78,Spain,Right
D. Arreola,10/8/1985,154.94,73.9,Mexico,Left
Pipa,1/26/1998,175.26,68,Spain,Right
Olabe,5/5/1996,152.4,69.9,Spain,Left
K. Dougall,5/7/1993,182.88,78.9,Australia,Right
D. Atanga,12/25/1996,154.94,64.9,Ghana,Left
Varela,10/26/1994,175.26,68,Spain,Left
D. Perkins,6/21/1982,167.64,76.2,England,Left
D. Kyereh,3/8/1996,152.4,73,Ghana,Right
Y. Maruyama,6/16/1989,182.88,76.2,Japan,Left
V. Jacob,6/15/1994,170.18,67.1,France,Right
Bruno Andrade,10/2/1993,175.26,73.9,Portugal,Right
L. Madrigal,2/10/1993,190.5,89.8,Mexico,Right
Kauã Reisende,2/29/1992,182.88,74.8,Brazil,Right
Ricardo Alves,5/9/1991,154.94,78,Portugal,Right
Jang Yun Ho,8/25/1996,152.4,68,Korea Republic,Right
M. Pearson,8/3/1993,190.5,72.1,England,Right
C. Telo,11/4/1989,172.72,72.1,Sweden,Right
L. Guldan,1/30/1983,182.88,82.1,Slovakia,Right
M. Rubin,7/9/1987,182.88,74.8,Italy,Left
Z. Al Sahafi,2/3/1994,187.96,73,Saudi Arabia,Right
Erik,2/2/1995,170.18,66.2,Brazil,Right
R. Teibert,12/22/1992,172.72,66.2,Canada,Left
L. Nicholls,10/5/1992,190.5,84.8,England,Right
Abdu Conté,3/24/1998,182.88,78,Portugal,Left
A. Lithgow,3/12/1988,185.42,84.8,Scotland,Right
A. Pavlović,11/16/1993,187.96,76.2,Serbia,Left
G. Valverde,6/24/1990,152.4,76.2,Bolivia,Right
Daniel Fuzato,7/4/1997,190.5,88,Brazil,Right
N. Jambor,9/25/1995,187.96,76.2,Croatia,Left
E. Aydoğan,6/26/1997,182.88,77.1,Turkey,Left
Juan Cruz,7/28/1992,154.94,69.9,Spain,Left
Ever Rodeiro,2/29/1984,172.72,71.2,Brazil,Right
Jean Carlos,5/10/1996,185.42,79.8,Brazil,Right
R. Caballero,10/31/1990,182.88,79.8,Paraguay,Left
Gu Chao,8/20/1989,193.04,86.2,China PR,Right
H. McGahey,9/26/1995,187.96,84.8,England,Right
G. Evans,4/26/1988,182.88,79.8,England,Right
K. Dawson,6/30/1990,152.4,79.8,Republic of Ireland,Right
D. Schahin,7/9/1989,187.96,89.8,Germany,Right
M. Perlak,12/26/1985,170.18,59.9,Austria,Right
J. Larsson,6/20/1997,175.26,68.9,Sweden,Left
A. Sušac,5/20/1989,185.42,79.8,Croatia,Right
S. McConville,3/6/1989,154.94,73.9,England,Right
C. Machado,6/20/1990,172.72,69.9,Bolivia,Right
Gabriel,12/19/1997,190.5,87.1,Brazil,Left
J. Aribo,7/21/1996,182.88,76.2,England,Left
K. Grant,9/18/1997,182.88,69.9,England,Right
L. Rodríguez,9/27/1993,167.64,71.2,Argentina,Left
C. Dunne,2/13/1993,187.96,86.2,Republic of Ireland,Left
M. Greenwood,10/1/2001,185.42,73,England,Left
J. Álvarez,2/10/1996,175.26,71.2,Argentina,Right
R. Descamps,6/25/1996,193.04,78.9,France,Left
E. Assifuah,7/3/1993,172.72,69.9,Ghana,Right
T. Lapslie,10/5/1995,167.64,68.9,England,Right
Pepelu,8/11/1998,185.42,69.9,Spain,Right
M. Tévez,7/31/1996,170.18,68.9,Argentina,Right
M. Ríos,6/19/1984,172.72,68,Chile,Right
H. Ojamaa,5/20/1991,175.26,74.8,Estonia,Right
G. Tansey,11/21/1988,185.42,78,England,Right
W. Harding,10/20/1996,154.94,78.9,England,Right
F. Castillón,8/21/1985,172.72,71.2,Argentina,Right
H. Al Hazaa,8/8/1991,175.26,64,Saudi Arabia,Right
Paulo Otávio,11/23/1994,175.26,68,Brazil,Left
R. Jansson,11/15/1991,187.96,87.1,Sweden,Left
M. Sollbauer,5/15/1990,187.96,86.2,Austria,Right
C. Lines,11/30/1985,187.96,78.9,England,Right
H. Zapata,2/11/1995,182.88,77.1,Colombia,Right
A. Youga,12/8/1992,185.42,83,Central African Rep.,Right
I. Boonen,1/4/1999,152.4,64,Belgium,Left
Sim Sang Min,5/21/1993,172.72,69.9,Korea Republic,Left
J. Dinenno,8/28/1994,185.42,83.9,Argentina,Right
B. Coker,6/17/1989,154.94,73.9,England,Left
M. Oxley,9/28/1990,190.5,73,England,Right
Y. Fofana,1/10/1999,175.26,68.9,France,Right
D. Rangelov,2/9/1983,182.88,79.8,Bulgaria,Right
M. Jansen,5/26/1993,152.4,73.9,Germany,Right
J. Hromada,5/25/1996,154.94,76.2,Slovakia,Right
P. Zulechner,4/12/1990,182.88,79.8,Austria,Right
J. Untersee,2/11/1994,154.94,78.9,Switzerland,Right
Pablo,12/18/1992,175.26,67.1,Brazil,Right
He Guan,1/25/1993,154.94,78.9,China PR,Right
A. Capello,12/12/1995,182.88,74.8,Italy,Right
B. Kopacz,5/12/1992,187.96,84.8,Poland,Right
G. Yalçın,1/18/1999,182.88,77.1,Turkey,Right
Dilson Calegari,2/29/1984,152.4,74.8,Brazil,Left
J. Byrne,4/24/1996,175.26,73,Republic of Ireland,Right
S. Nutz,2/15/1992,152.4,67.1,Austria,Left
S. Scappini,2/2/1988,154.94,73.9,Italy,Right
F. Canales,5/4/1987,182.88,74.8,Mexico,Right
Andoni López,4/5/1996,187.96,76.2,Spain,Left
L. Owusu,8/13/1996,175.26,68,Netherlands,Right
D. Mast,2/15/1992,185.42,78.9,Germany,Left
P. Estupiñán,1/21/1998,175.26,68.9,Ecuador,Left
A. Dreyer,5/2/1998,172.72,69.9,Denmark,Left
J. Düker,1/4/1996,187.96,79.8,Germany,Left
B. Renneke,12/10/1992,175.26,73,Germany,Right
Dong Xuesheng,5/22/1989,185.42,82.1,China PR,Right
R. Pillot,7/27/1990,187.96,82.1,France,Right
M. Gilks,6/4/1982,185.42,81.2,Scotland,Right
M. Marić,4/30/1984,187.96,88.9,Switzerland,Right
R. Vodišek,12/5/1998,187.96,83,Slovenia,Right
M. Ljujić,10/28/1993,185.42,74.8,Serbia,Left
A. Sigurðsson,5/15/1999,152.4,74.8,Iceland,Right
J. Blayac,6/13/1983,187.96,79.8,France,Right
R. Festersen,8/26/1986,175.26,74.8,Denmark,Right
S. Wannenwetsch,1/19/1992,152.4,73,Germany,Right
O. Bulut,4/16/1994,152.4,68.9,Germany,Right
Manuel Sánchez,4/13/1988,185.42,78,Spain,Left
C. Ayala,6/23/1986,152.4,73.9,Colombia,Right
B. Enobakhare,5/18/1998,152.4,77.1,Nigeria,Right
S. Sinovic,1/28/1987,152.4,77.1,United States,Left
Magno Novaes,3/30/1983,182.88,84.8,Brazil,Right
Paik Seung Ho,3/17/1997,154.94,68,Korea Republic,Right
D. Haas,8/1/1983,187.96,88.9,Germany,Right
Flávio Triginho,2/29/1984,172.72,66.2,Brazil,Right
B. Emir,2/6/1988,152.4,73,Turkey,Left
Fu Huan,7/12/1993,182.88,69.9,China PR,Right
B. Finne,2/13/1995,172.72,69.9,Norway,Right
N. Peñailillo,8/3/1991,182.88,74.8,Chile,Left
V. Solomon-Otabor,1/2/1996,175.26,77.1,Nigeria,Right
E. Castañeda,10/22/1992,182.88,81.2,Colombia,Right
P. Ofosu-Ayeh,9/15/1991,154.94,81.2,Ghana,Right
M. Ehmer,2/3/1992,187.96,74.8,Germany,Right
Jano,12/23/1986,187.96,78,Spain,Right
L. Page,5/20/1996,152.4,72.1,England,Left
Fábinho,3/16/1985,170.18,68,Brazil,Left
M. Spano Rahou,10/31/1994,182.88,78.9,France,Right
W. Norris,8/12/1993,190.5,81.2,England,Left
S. Longstaff,10/30/1997,154.94,64.9,England,Right
H. Sönmez,10/1/1990,154.94,74.8,Turkey,Right
S. Findlay,9/14/1995,190.5,82.1,Scotland,Left
Liao Lisheng,4/29/1993,154.94,69.9,China PR,Right
Euller,1/4/1995,175.26,73,Brazil,Left
P. Funk,2/11/1990,152.4,77.1,Germany,Right
E. Iñíguez,1/1/1997,152.4,69.9,Argentina,Right
M. Ojeda,11/27/1998,152.4,73.9,Argentina,Left
Lorenzao Masca,2/29/1984,172.72,67.1,Brazil,Right
K. Heerings,1/12/1990,190.5,81.2,Netherlands,Left
L. Röser,12/28/1993,182.88,77.1,Germany,Right
M. Pučko,10/6/1993,175.26,68,Slovenia,Right
C. Schoissengeyr,10/18/1994,195.58,92.1,Austria,Right
H. El Sayed,9/18/1991,170.18,68,Egypt,Left
A. Arregui,8/12/1992,175.26,73.9,Argentina,Right
M. Blair,6/21/1989,152.4,73.9,England,Right
M. Damsgaard,7/3/2000,154.94,64.9,Denmark,Right
Tang Xin,10/16/1990,152.4,73.9,China PR,Left
Lee Myung Jae,11/4/1993,154.94,74.8,Korea Republic,Left
A. Taylor,9/2/1990,193.04,76.2,Wales,Right
L. Ravanelli,1/6/1997,187.96,74.8,Italy,Right
M. Edwards,12/3/1998,167.64,78,England,Left
K. Pearce,1/5/1990,187.96,94.8,England,Right
A. Boyle,3/7/1991,152.4,77.1,Republic of Ireland,Left
K. Chinen,3/17/1995,152.4,71.2,Japan,Right
F. Troyansky,6/3/1997,152.4,77.1,Argentina,Left
A. Guira,4/24/1988,185.42,74.8,Burkina Faso,Right
Wang Zhuo,1/16/1990,187.96,93,China PR,Right
M. Okugawa,4/14/1996,175.26,62.1,Japan,Left
E. Quiñones,11/7/1988,175.26,78,Colombia,Left
A. Doukha,8/5/1986,185.42,84.8,Algeria,Right
N. Bertrams,1/8/1993,185.42,81.2,Netherlands,Right
P. Bengtsson,4/12/1988,175.26,73.9,Sweden,Left
P. Paye,5/31/1990,170.18,64.9,France,Right
M. Busellato,4/23/1993,175.26,73,Italy,Right
C. Donaldson,2/7/1984,185.42,79.8,Jamaica,Right
J. Elsey,3/2/1994,187.96,79.8,Australia,Right
A. Faltsetas,7/4/1987,154.94,78.9,Sweden,Right
O. Mendoza,10/28/1988,172.72,72.1,Mexico,Right
K. Vincent-Young,3/15/1996,154.94,69.9,England,Right
C. Conway,5/2/1985,170.18,67.1,Scotland,Right
S. Yahaya,12/31/1989,175.26,69.9,Ghana,Right
K. Wagner,2/15/1997,182.88,78,Germany,Left
A. Keita,4/16/1992,182.88,78.9,Guinea,Right
R. Lange,11/22/1988,152.4,76.2,Germany,Left
C. Capone,4/28/1999,182.88,74.8,Italy,Right
T. Yalçıner,1/12/1987,152.4,69.9,Turkey,Left
S. Gannon,7/11/1991,182.88,67.1,Republic of Ireland,Right
J. Riedel,8/10/1991,182.88,76.2,Germany,Right
M. Sánchez,8/18/1987,172.72,71.2,Argentina,Right
Wang Yongpo,1/19/1987,152.4,71.2,China PR,Right
J. Pierazzi,6/17/1985,185.42,74.8,France,Right
P. McGowan,10/7/1987,170.18,64.9,Scotland,Right
H. Iikura,6/1/1986,154.94,74.8,Japan,Right
M. El-Shenawy,12/18/1988,190.5,86.2,Egypt,Right
F. Banguero,12/31/1988,182.88,73.9,Colombia,Left
S. Jakubiak,6/21/1993,175.26,67.1,Germany,Right
Fran Rodríguez,5/22/1995,175.26,68,Spain,Right
C. Doyle,6/12/1985,195.58,92.1,Republic of Ireland,Right
C. Gakpo,5/7/1999,187.96,76.2,Netherlands,Right
M. Boadu,1/14/2001,154.94,64.9,Netherlands,Right
P. Mpanzu,3/22/1994,175.26,71.2,England,Right
S. Carruthers,4/4/1993,172.72,69.9,Republic of Ireland,Right
A. Acosta,2/26/1988,170.18,71.2,Mexico,Left
Rúben Lameiras,12/22/1994,175.26,69.9,Portugal,Left
Bruno Nunes,7/8/1990,187.96,74.8,Brazil,Right
B. Sævarsson,11/11/1984,187.96,73.9,Iceland,Right
K. Endo,11/22/1997,175.26,66.2,Japan,Right
D. Asprilla,5/25/1992,154.94,74.8,Colombia,Right
N. Næss,1/18/1993,182.88,82.1,Norway,Right
C. Dorda,12/6/1988,182.88,79.8,Germany,Left
L. Kelly,2/10/1990,187.96,88,Scotland,Right
S. Fischer,9/3/1988,182.88,81.2,Netherlands,Right
Diogo Costa,9/19/1999,187.96,81.2,Portugal,Right
Cristo González,10/14/1997,152.4,73.9,Spain,Right
R. Dekker,3/15/1995,175.26,64.9,Netherlands,Right
J. Baldwin,6/30/1993,185.42,69.9,England,Right
G. Kharaishvili,7/29/1996,182.88,73,Georgia,Right
T. Agyepong,10/10/1995,170.18,73,Ghana,Right
E. Reséndez,1/12/1996,185.42,72.1,Mexico,Right
R. Nyambe,12/4/1997,182.88,76.2,Namibia,Right
N. Vergos,1/13/1996,182.88,77.1,Greece,Right
D. Bičík,4/6/1981,193.04,91.2,Czech Republic,Right
S. Petkov,5/7/1995,185.42,78.9,Bulgaria,Right
C. Ezeh,10/2/1997,185.42,68.9,Nigeria,Right
R. O'Donovan,8/10/1985,152.4,64,Republic of Ireland,Right
J. Gammelby,2/5/1995,193.04,79.8,Denmark,Right
D. Drescher,10/7/1989,190.5,84.8,Austria,Left
Ander Guevara,7/7/1997,154.94,73,Spain,Right
J. Valadez,2/24/1996,152.4,76.2,Mexico,Right
R. Rebolledo,5/14/1997,170.18,63,Chile,Right
L. Escorcia,8/9/1996,185.42,76.2,Colombia,Right
J. Jach,2/17/1994,193.04,81.2,Poland,Left
M. Hofmann,8/7/1993,182.88,69.9,Austria,Right
G. Hubert,1/11/1994,198.12,88,Belgium,Right
D. Palacios,7/12/1999,170.18,67.1,Ecuador,Left
M. Fofana,1/21/1998,185.42,74.8,Mali,Right
C. Carrillo,8/8/1992,152.4,64.9,Colombia,Right
B. Garuccio,6/15/1995,175.26,69.9,Australia,Left
Alberto Soro,3/9/1999,172.72,63,Spain,Left
C. Dawson,7/7/1995,193.04,68.9,England,Right
U. Jenssen,7/17/1996,185.42,82.1,Norway,Left
N. Douchez,4/22/1980,185.42,81.2,France,Right
Yang Cheng,10/11/1985,185.42,77.1,China PR,Right
L. Romo,6/5/1995,182.88,83.9,Mexico,Right
S. Al Muwallad,3/9/1991,182.88,78.9,Saudi Arabia,Right
A. Al Faraj,7/15/1988,172.72,68,Saudi Arabia,Right
J. González,6/28/1992,152.4,73,Paraguay,Right
M. Müldür,4/3/1999,185.42,74.8,Turkey,Right
P. Sisniega,7/7/1995,193.04,78.9,Mexico,Right
E. Caicedo,4/23/1995,185.42,78.9,Colombia,Left
J. Horn,6/7/1987,187.96,83,Norway,Right
E. Boldewijn,11/17/1992,185.42,76.2,Netherlands,Right
P. Ochs,4/17/1997,175.26,74.8,Germany,Left
G. Pacheco,4/10/1989,154.94,76.2,Chile,Right
D. van Bruggen,3/18/1996,182.88,81.2,Netherlands,Right
E. Palmer-Brown,4/24/1997,185.42,78.9,United States,Right
J. Ávila,11/1/1991,187.96,88,Colombia,Right
D. Samuel,4/11/1994,182.88,68.9,England,Right
L. Burnet,1/11/1991,170.18,64.9,Netherlands,Left
R. Seuntjens,4/17/1989,193.04,93,Netherlands,Right
L. Akins,2/25/1989,152.4,78.9,England,Right
M. Hughes,12/9/1986,187.96,83,England,Right
M. Campos,6/22/1989,152.4,76.2,Chile,Left
T. Leugers,1/9/1991,182.88,77.1,Germany,Left
L. Garbutt,5/21/1993,152.4,73,England,Left
O. Cissokho,1/14/1987,175.26,68,Senegal,Left
S. Sasaki,10/2/1989,175.26,69.9,Japan,Left
H. Shipp,11/7/1991,175.26,66.2,United States,Right
Augusto,8/30/1987,154.94,79.8,Portugal,Left
A. Ndengane,1/19/1987,185.42,77.1,South Africa,Right
L. Badiashile,2/5/1998,185.42,79.8,France,Right
P. Dziczek,2/25/1998,152.4,69.9,Poland,Right
Y. Abe,9/6/1981,152.4,77.1,Japan,Right
L. Cabrera,1/7/1994,167.64,73,Chile,Right
K. Pröger,5/25/1992,152.4,73,Germany,Right
T. Kadewere,1/5/1996,182.88,72.1,Zimbabwe,Right
B. Potts,7/3/1994,187.96,81.2,England,Right
R. Niemeijer,3/27/1995,152.4,71.2,Netherlands,Right
A. Angulo,6/3/1997,172.72,68,Colombia,Left
N. Tripichio,1/5/1996,175.26,60.8,Argentina,Right
R. Crivello,9/14/1991,154.94,76.2,Italy,Left
S. Nijland,8/10/1988,187.96,81.2,Netherlands,Right
G. Berthier,11/11/1995,152.4,63,France,Left
Hwang Seok Ho,6/27/1989,182.88,74.8,Korea Republic,Right
A. Grant,1/23/1994,190.5,88,Australia,Left
A. Lamas,1/16/1984,187.96,82.1,Uruguay,Left
Chuca,6/10/1997,154.94,74.8,Spain,Right
D. Frick,4/5/1990,187.96,83.9,Germany,Right
R. Matsuda,7/24/1991,170.18,68.9,Japan,Right
Park Han Bin,9/21/1997,182.88,74.8,Korea Republic,Right
M. Dittgen,3/3/1995,182.88,77.1,Germany,Left
L. Hutten,3/18/1990,154.94,72.1,Netherlands,Right
E. Owusu,11/7/1997,182.88,72.1,France,Right
E. Diaw,12/31/1994,193.04,84.8,Senegal,Left
S. Freis,4/23/1985,182.88,78,Germany,Right
Edenildo Lagoas,2/29/1988,154.94,74.8,Brazil,Right
J. Dodoo,6/29/1995,182.88,69.9,Ghana,Right
P. van Ooijen,2/16/1992,152.4,74.8,Netherlands,Right
L. Broź,12/17/1985,154.94,73.9,Poland,Right
